SampleNumber,DCM/Time,DCM/CycleTime,Device/SubDeviceList/Head/Touch/Middle/Sensor/Value,Device/SubDeviceList/HeadPitch/Position/Sensor/Value,Device/SubDeviceList/HeadYaw/Position/Sensor/Value,Device/SubDeviceList/LAnklePitch/Position/Sensor/Value,Device/SubDeviceList/LAnkleRoll/Position/Sensor/Value,Device/SubDeviceList/LElbowRoll/Position/Sensor/Value,Device/SubDeviceList/LElbowYaw/Position/Sensor/Value,Device/SubDeviceList/LHand/Position/Sensor/Value,Device/SubDeviceList/LHipPitch/Position/Sensor/Value,Device/SubDeviceList/LHipRoll/Position/Sensor/Value,Device/SubDeviceList/LHipYawPitch/Position/Sensor/Value,Device/SubDeviceList/LKneePitch/Position/Sensor/Value,Device/SubDeviceList/LShoulderPitch/Position/Sensor/Value,Device/SubDeviceList/LShoulderRoll/Position/Sensor/Value,Device/SubDeviceList/LWristYaw/Position/Sensor/Value,Device/SubDeviceList/RAnklePitch/Position/Sensor/Value,Device/SubDeviceList/RAnkleRoll/Position/Sensor/Value,Device/SubDeviceList/RElbowRoll/Position/Sensor/Value,Device/SubDeviceList/RElbowYaw/Position/Sensor/Value,Device/SubDeviceList/RHand/Position/Sensor/Value,Device/SubDeviceList/RHipPitch/Position/Sensor/Value,Device/SubDeviceList/RHipRoll/Position/Sensor/Value,Device/SubDeviceList/RKneePitch/Position/Sensor/Value,Device/SubDeviceList/RShoulderPitch/Position/Sensor/Value,Device/SubDeviceList/RShoulderRoll/Position/Sensor/Value,Device/SubDeviceList/RWristYaw/Position/Sensor/Value,Device/SubDeviceList/InertialSensor/AccelerometerX/Sensor/Value,Device/SubDeviceList/InertialSensor/AccelerometerY/Sensor/Value,Device/SubDeviceList/InertialSensor/AccelerometerZ/Sensor/Value,Device/SubDeviceList/InertialSensor/GyroscopeX/Sensor/Value,Device/SubDeviceList/InertialSensor/GyroscopeY/Sensor/Value,Device/SubDeviceList/InertialSensor/AngleX/Sensor/Value,Device/SubDeviceList/InertialSensor/AngleY/Sensor/Value,Device/SubDeviceList/LFoot/FSR/FrontLeft/Sensor/Value,Device/SubDeviceList/LFoot/FSR/FrontRight/Sensor/Value,Device/SubDeviceList/LFoot/FSR/RearLeft/Sensor/Value,Device/SubDeviceList/LFoot/FSR/RearRight/Sensor/Value,Device/SubDeviceList/RFoot/FSR/FrontLeft/Sensor/Value,Device/SubDeviceList/RFoot/FSR/FrontRight/Sensor/Value,Device/SubDeviceList/RFoot/FSR/RearLeft/Sensor/Value,Device/SubDeviceList/RFoot/FSR/RearRight/Sensor/Value
0,307176672,11,0.0,-0.159577846527,-0.00924587249756,0.0904641151428,-0.130347967148,-0.401865959167,-1.17201805115,0.295199990273,0.130431890488,0.101285934448,-0.170232057571,-0.0890140533447,1.46186006069,0.154891967773,0.0843279361725,0.0905480384827,0.130431890488,0.405017852783,1.18267202377,0.295599997044,0.12881398201,-0.0996680259705,-0.0889301300049,1.45274019241,-0.159577846527,0.0827939510345,1.5423926115,-0.191601574421,-11.2278518677,-0.000798948341981,0.00133158056997,0.000191863378859,0.0366237796843,0.0,0.0,2.35320782661,0.0,0.156922414899,0.688748717308,0.0498112104833,0.838182270527
1,307176762,10,0.0,-0.159577846527,-0.00924587249756,0.0904641151428,-0.130347967148,-0.401865959167,-1.17201805115,0.294799983501,0.130431890488,0.0997519493103,-0.170232057571,-0.0905480384827,1.46339404583,0.154891967773,0.0843279361725,0.0905480384827,0.130431890488,0.405017852783,1.18267202377,0.295599997044,0.12881398201,-0.0996680259705,-0.0904641151428,1.45274019241,-0.159577846527,0.0827939510345,1.53281259537,-0.162861332297,-11.2565927505,0.00292947725393,0.000798948341981,0.000383551931009,0.0366237796843,0.0,0.0,2.37924480438,0.0,0.123674988747,0.663098692894,0.0439274944365,0.840549230576
2,307176868,9,0.0,-0.161112070084,-0.00924587249756,0.0904641151428,-0.12881398201,-0.401865959167,-1.17201805115,0.294799983501,0.130431890488,0.0997519493103,-0.170232057571,-0.0890140533447,1.46339404583,0.154891967773,0.0843279361725,0.0890140533447,0.130431890488,0.405017852783,1.18267202377,0.296000003815,0.130347967148,-0.0996680259705,-0.0904641151428,1.45274019241,-0.159577846527,0.0827939510345,1.50407230854,-0.18202149868,-11.2470121384,0.00133158056997,-0.000532632227987,0.000191863378859,0.0364320911467,0.0,0.0,2.26615929604,0.0,0.127286121249,0.658912479877,0.050338961184,0.788817822933
3,307176970,10,0.0,-0.159577846527,-0.00924587249756,0.0904641151428,-0.12881398201,-0.401865959167,-1.17201805115,0.295199990273,0.12889790535,0.0997519493103,-0.170232057571,-0.0905480384827,1.46339404583,0.154891967773,0.0843279361725,0.0905480384827,0.130431890488,0.405017852783,1.18267202377,0.296000003815,0.12881398201,-0.0996680259705,-0.0904641151428,1.45274019241,-0.159577846527,0.0827939510345,1.51365244389,-0.143701180816,-11.2661724091,0.00292947725393,-0.00292947725393,0.000191863378859,0.0364320911467,0.0,0.0,2.40582942963,0.0,0.149386316538,0.671546339989,0.0506922677159,0.847718536854
4,307177070,10,0.0,-0.159577846527,-0.00924587249756,0.0904641151428,-0.130347967148,-0.401865959167,-1.17201805115,0.295199990273,0.130431890488,0.101285934448,-0.168698072433,-0.0890140533447,1.46339404583,0.154891967773,0.0843279361725,0.0905480384827,0.12889790535,0.405017852783,1.18267202377,0.296000003815,0.130347967148,-0.0996680259705,-0.0889301300049,1.45274019241,-0.159577846527,0.0827939510345,1.57113289833,-0.191601574421,-11.2470121384,-0.00213052891195,0.00213052891195,0.000191863378859,0.0366237796843,0.0,0.0,2.27822184563,0.0,0.0920625776052,0.606668531895,0.0366554670036,0.795257985592
5,307177171,12,0.0,-0.159577846527,-0.0107798576355,0.0904641151428,-0.130347967148,-0.401865959167,-1.17201805115,0.295199990273,0.130431890488,0.0997519493103,-0.170232057571,-0.0890140533447,1.46339404583,0.154891967773,0.0843279361725,0.0905480384827,0.12889790535,0.405017852783,1.18267202377,0.296000003815,0.130347967148,-0.0996680259705,-0.0889301300049,1.45274019241,-0.159577846527,0.0827939510345,1.52323246002,-0.162861332297,-11.2757520676,-0.00292947725393,0.00239684502594,1.74845553147e-07,0.0370071567595,0.0,0.0,2.40582942963,0.0,0.149386316538,0.688748717308,0.0703310370445,0.815117657185
6,307177272,10,0.0,-0.159577846527,-0.00924587249756,0.0904641151428,-0.12881398201,-0.401865959167,-1.17201805115,0.294799983501,0.12889790535,0.0997519493103,-0.170232057571,-0.0905480384827,1.46339404583,0.154891967773,0.0843279361725,0.0890140533447,0.127363920212,0.403483867645,1.18267202377,0.296000003815,0.12881398201,-0.0981340408325,-0.0904641151428,1.45274019241,-0.159577846527,0.101202011108,1.4944922924,-0.18202149868,-11.2565927505,-0.00585895450786,0.00772316753864,-0.000383202219382,0.0366237796843,0.0,0.0,2.31514382362,0.0,0.0920625776052,0.69750726223,0.15032595396,0.748020768166
7,307177371,10,0.0,-0.159577846527,-0.00924587249756,0.0889301300049,-0.125746011734,-0.401865959167,-1.18428993225,0.294799983501,0.130431890488,0.0982179641724,-0.168698072433,-0.0890140533447,1.46339404583,0.156425952911,0.0628521442413,0.0890140533447,0.127363920212,0.403483867645,1.18880808353,0.295599997044,0.12881398201,-0.0950660705566,-0.0889301300049,1.45274019241,-0.159577846527,0.124212026596,1.42743170261,-0.258662134409,-11.2565927505,-0.00772316753864,0.0125168571249,-0.000767056131735,0.0368154682219,0.0,0.0,2.11960673332,0.0,0.0148961022496,0.598973572254,0.177279010415,0.714210271835
8,307177472,10,0.0,-0.159577846527,-0.0107798576355,0.0873961448669,-0.122678041458,-0.39266204834,-1.19809579849,0.288399994373,0.124295949936,0.0951499938965,-0.167164087296,-0.0890140533447,1.46339404583,0.154891967773,0.0291039943695,0.0859460830688,0.125829935074,0.405017852783,1.20108008385,0.287599980831,0.119610071182,-0.0919981002808,-0.0843279361725,1.45274019241,-0.159577846527,0.159493923187,1.82021486759,-0.402363300323,-11.1895313263,-0.00852211564779,0.0671116635203,-0.00230104126967,0.0400751270354,0.0,0.0,2.20760393143,0.062549136579,0.0,0.606668531895,0.23008595407,0.5929043293
9,307177573,10,0.0,-0.159577846527,-0.00924587249756,0.0843279361725,-0.118076086044,-0.38499212265,-1.20730018616,0.27840000391,0.119693994522,0.0936160087585,-0.167164087296,-0.0890140533447,1.46339404583,0.154891967773,-0.0169160366058,0.0813438892365,0.12122797966,0.362066030502,1.21181809902,0.276399970055,0.11347413063,-0.0873961448669,-0.0843279361725,1.45734214783,-0.161112070084,0.207047939301,2.03097653389,-0.354462891817,-11.3428125381,-0.00213052891195,0.116113826632,-0.00345117249526,0.0473616756499,0.0,0.0,2.02815699577,0.145352363586,0.0751629024744,0.663098692894,0.354346036911,0.438090860844
10,307177671,10,0.0,-0.159577846527,-0.00924587249756,0.0781919956207,-0.115008115768,-0.372720003128,-1.2211060524,0.268000006676,0.11355805397,0.0905480384827,-0.16409611702,-0.0859460830688,1.46492803097,0.156425952911,-0.0736739635468,0.0767419338226,0.115092039108,0.362066030502,1.22409009933,0.265600025654,0.105803966522,-0.0827939510345,-0.0797259807587,1.4604101181,-0.161112070084,0.259204149246,1.77231454849,-0.239501968026,-11.3140726089,-0.00852211564779,0.0945422202349,-0.00441009225324,0.0577161945403,0.0,0.0,1.67664361,0.313035964966,0.208100378513,0.55457919836,0.376400798559,0.135473594069
11,307177764,10,0.0,-0.159577846527,-0.00924587249756,0.0751240253448,-0.111940145493,-0.357380151749,-1.23030996323,0.256399989128,0.107421875,0.0874800682068,-0.162562131882,-0.0813438892365,1.46492803097,0.156425952911,-0.124295949936,0.0736739635468,0.110489845276,0.362066030502,1.23636209965,0.254800021648,0.101202011108,-0.0781919956207,-0.0751240253448,1.4604101181,-0.162646055222,0.306757926941,2.03097653389,-0.239501968026,-11.0937309265,0.00106526445597,0.0380832031369,-0.00556070031598,0.0667284205556,0.0,0.0,1.3549438715,0.410265058279,0.388606369495,0.434422940016,0.581549227238,0.0077332155779
12,307177873,11,0.0,-0.159577846527,-0.00924587249756,0.070522069931,-0.108871936798,-0.340506076813,-1.24718379974,0.242399990559,0.101285934448,0.0859460830688,-0.161028146744,-0.0767419338226,1.46646213531,0.156425952911,-0.202529907227,0.0706059932709,0.101285934448,0.320647954941,1.25630402565,0.239600002766,0.0950660705566,-0.072056055069,-0.070522069931,1.4604101181,-0.164180040359,0.374253988266,2.00223636627,-0.172441408038,-11.2182722092,-0.0146473860368,-0.00159789668396,-0.00671083154157,0.0680702403188,0.0,0.0,1.18584537506,0.653238713741,0.404481738806,0.112623140216,0.707635581493,0.0
13,307177964,9,0.0,-0.159577846527,-0.00924587249756,0.0659201145172,-0.10733795166,-0.322098016739,-1.26866006851,0.227599978447,0.0966839790344,0.0844118595123,-0.156425952911,-0.0706059932709,1.46799612045,0.156425952911,-0.280763864517,0.067538022995,0.0920820236206,0.312978029251,1.27471208572,0.225600004196,0.0889301300049,-0.0659201145172,-0.0643861293793,1.46347808838,-0.165714025497,0.440216064453,1.93517589569,-0.172441408038,-11.1416311264,-0.00798948295414,0.0162452831864,-0.00728637399152,0.0671117976308,0.0,0.0,0.710407793522,0.87416857481,0.610106348991,0.0,0.955397069454,0.0
14,307178074,10,0.0,-0.154975891113,-0.00924587249756,0.0613179206848,-0.0996680259705,-0.302155971527,-1.28706789017,0.213599979877,0.0890140533447,0.0813438892365,-0.154891967773,-0.067538022995,1.46953010559,0.157959938049,-0.362066030502,0.0629360675812,0.0828778743744,0.311444044113,1.29158604145,0.210399985313,0.0827939510345,-0.0628521442413,-0.0597839355469,1.46347808838,-0.167248010635,0.496973991394,1.59987306595,-0.229921877384,-11.208691597,-0.00878843199462,0.0474042668939,-0.00709468545392,0.0684540942311,0.0,0.0,0.421487420797,1.25684189796,0.681270956993,0.0,1.03541564941,0.0
15,307178176,12,0.0,-0.133499860764,-0.00924587249756,0.0551819801331,-0.0935320854187,-0.276077985764,-1.30394220352,0.19880002737,0.0813438892365,0.0798099040985,-0.15029001236,-0.0629360675812,1.47259807587,0.159493923187,-0.443367958069,0.0583338737488,0.0736739635468,0.262356042862,1.31152808666,0.195200026035,0.0735900402069,-0.0582499504089,-0.056715965271,1.46347808838,-0.170315980911,0.564470052719,1.89685559273,-0.26824221015,-11.208691597,-0.00798948295414,0.0868190526962,-0.00843650475144,0.0726721957326,0.0,0.0,0.0525748245418,1.50473725796,0.766459405422,0.0,1.16889357567,0.0
16,307178276,10,0.0,-0.124295949936,-0.00924587249756,0.0505800247192,-0.0843279361725,-0.273010015488,-1.32388401031,0.181999981403,0.0736739635468,0.0736739635468,-0.148756027222,-0.0583338737488,1.47259807587,0.162562131882,-0.526203870773,0.052197933197,0.0629360675812,0.260822057724,1.32993602753,0.178799986839,0.0659201145172,-0.0551819801331,-0.0521140098572,1.46501207352,-0.171849966049,0.631966114044,2.22257828712,-0.191601574421,-11.1991119385,-0.00266316113994,0.0322242490947,-0.00824481621385,0.0845606997609,0.0,0.0,0.00914802029729,1.44153773785,0.886981487274,0.0,1.20518922806,0.0
17,307178377,13,0.0,-0.115092039108,-0.00924587249756,0.0444440841675,-0.0751240253448,-0.219320058823,-1.34689378738,0.165600001812,0.0660040378571,0.0706059932709,-0.144154071808,-0.052197933197,1.474132061,0.165630102158,-0.61364197731,0.0475959777832,0.052197933197,0.237812042236,1.35141205788,0.163600027561,0.0597839355469,-0.0521140098572,-0.0459780693054,1.46654605865,-0.173383951187,0.710200071335,1.89685559273,-0.229921877384,-11.2278518677,-0.0117179090157,0.0197073929012,-0.00920373573899,0.088012047112,0.0,0.0,0.00483481306583,1.53804528713,0.833532392979,0.0,1.15146017075,0.0
18,307178476,9,0.0,-0.107421875,-0.00924587249756,0.0398421287537,-0.0659201145172,-0.214718103409,-1.36683607101,0.149199962616,0.0598678588867,0.0644700527191,-0.141086101532,-0.0460619926453,1.48026812077,0.167164087296,-0.698011875153,0.0445280075073,0.0414600372314,0.217869997025,1.37135410309,0.146399974823,0.0521140098572,-0.0505800247192,-0.0413761138916,1.46501207352,-0.176451921463,0.793035984039,1.85853528976,-0.249082043767,-11.2757520676,-0.01438106969,-0.00372842559591,-0.0103543438017,0.0906966403127,0.0,0.136744841933,0.0103535978124,1.63615381718,0.782801270485,0.0,1.14121818542,0.0
19,307178575,9,0.0,-0.0966839790344,-0.00924587249756,0.0352399349213,-0.056715965271,-0.211650133133,-1.38677787781,0.1332000494,0.052197933197,0.0567998886108,-0.138018131256,-0.0399260520935,1.48026812077,0.168698072433,-0.786983966827,0.0399260520935,0.0291879177094,0.193325996399,1.39129602909,0.130399942398,0.0459780693054,-0.0505800247192,-0.0367741584778,1.46654605865,-0.177985906601,0.880474090576,1.76273441315,-0.210761725903,-11.3428125381,-0.00479369005188,0.0205063410103,-0.0107377208769,0.0908883288503,0.0,0.0945103913546,0.00535489432514,1.63615381718,0.807840287685,0.0,1.22409117222,0.0
20,307178677,10,0.0,-0.0859460830688,-0.00924587249756,0.0306379795074,-0.0459780693054,-0.168698072433,-1.40672016144,0.117200016975,0.0460619926453,0.0491299629211,-0.133415937424,-0.0368580818176,1.48333609104,0.170232057571,-0.874422073364,0.0353238582611,0.0199840068817,0.174917936325,1.40817010403,0.115200042725,0.0383081436157,-0.0490460395813,-0.0321719646454,1.47268199921,-0.181053876877,0.954106092453,2.16509771347,-0.316142588854,-11.1799516678,-0.0146473860368,0.0905474796891,-0.0116966404021,0.0954902842641,0.0,0.25578173995,0.00237811682746,1.64558231831,0.734585642815,0.0,1.14802825451,0.0
21,307178778,10,0.0,-0.0767419338226,-0.00924587249756,0.0245020389557,-0.0367741584778,-0.16409611702,-1.42819595337,0.102399945259,0.0399260520935,0.0399260520935,-0.131881952286,-0.0322558879852,1.48333609104,0.171766042709,-0.958792209625,0.0291879177094,0.00924587249756,0.153441905975,1.43118011951,0.100000023842,0.0321719646454,-0.0444440841675,-0.0275700092316,1.47268199921,-0.182587862015,1.02773809433,2.28963875771,-0.421523451805,-11.1224708557,-0.0314253009856,0.0673779770732,-0.0145724453032,0.101626224816,0.0,0.346189469099,0.00820667576045,1.7040951252,0.868849754333,0.0,0.933440029621,0.0
22,307178876,10,0.0,-0.0690720081329,-0.00924587249756,0.0199000835419,-0.0275700092316,-0.13495016098,-1.448138237,0.0884000062943,0.0322558879852,0.0322558879852,-0.12881398201,-0.0261199474335,1.48640406132,0.176367998123,-1.0370259285,0.0245859622955,-0.00149202346802,0.13503408432,1.45112204552,0.0856000185013,0.0260360240936,-0.0352399349213,-0.0229680538177,1.47268199921,-0.185656070709,1.09676814079,2.28963875771,-0.469423860312,-11.208691597,-0.0276968758553,0.0703074559569,-0.0210922397673,0.109487839043,0.0,0.611753284931,0.00800994411111,1.79861581326,0.726781189442,0.0,0.710657060146,0.0
23,307178979,10,0.0,-0.0583338737488,-0.00924587249756,0.016832113266,-0.0183660984039,-0.115008115768,-1.46654605865,0.0740000009537,0.0261199474335,0.0245859622955,-0.127279996872,-0.0230519771576,1.48947203159,0.179435968399,-1.1229300499,0.0199840068817,-0.0106959342957,0.115092039108,1.46799612045,0.0715999603271,0.0199000835419,-0.0260360240936,-0.0183660984039,1.47421598434,-0.187190055847,1.16273009777,2.38543963432,-0.54606449604,-11.0458307266,-0.0042610578239,0.026098979637,-0.0249269641936,0.116391010582,0.0,0.635175824165,0.00488193519413,1.84348428249,0.734585642815,0.0,0.635832071304,0.0
24,307179077,10,0.0,-0.053731918335,-0.00924587249756,0.0137641429901,-0.00916194915771,-0.0981340408325,-1.48188591003,0.0604000091553,0.0199840068817,0.0184500217438,-0.124212026596,-0.0184500217438,1.49100613594,0.179435968399,-1.18889188766,0.0169160366058,-0.0199000835419,0.0966839790344,1.48333609104,0.0592000484467,0.0152981281281,-0.016832113266,-0.0137641429901,1.47728395462,-0.188724040985,1.22102212906,2.4045996666,-0.383203148842,-11.0649909973,0.00319579336792,0.0202400237322,-0.0253103412688,0.119458980858,0.0,0.781399190426,0.00147168629337,1.83209192753,0.758390843868,0.0,0.698695719242,0.0
25,307179180,11,0.0,-0.0475959777832,-0.0107798576355,0.00916194915771,0.00157594680786,-0.0812599658966,-1.49876022339,0.0487999916077,0.0153820514679,0.0107798576355,-0.12114405632,-0.0153820514679,1.50021004677,0.184038162231,-1.26252412796,0.0123138427734,-0.0275700092316,0.0782759189606,1.49867606163,0.0471999645233,0.00916194915771,-0.00762796401978,-0.0106959342957,1.47728395462,-0.191792011261,1.28084802628,2.27047872543,-0.392783224583,-11.1128911972,0.00878843199462,0.0266316123307,-0.0241602100432,0.120417423546,0.0,0.647096216679,0.0,1.74505400658,0.799422681332,0.0,0.737215697765,0.0
26,307179279,9,0.0,-0.0383920669556,-0.00924587249756,0.00609397888184,0.0107798576355,-0.0674540996552,-1.51410007477,0.0376000404358,0.0107798576355,0.00464391708374,-0.118076086044,-0.0107798576355,1.50327801704,0.187106132507,-1.3192820549,0.00924587249756,-0.0337059497833,0.0660040378571,1.5170841217,0.0363999605179,0.00609397888184,-0.00149202346802,-0.00762796401978,1.4803519249,-0.196393966675,1.33453810215,2.36627936363,-0.469423860312,-11.1512117386,0.0245010815561,0.0157126504928,-0.0230096019804,0.122143097222,0.0,0.774599075317,0.00664677051827,1.78768479824,0.742455005646,0.0,0.801022589207,0.0
27,307179378,10,0.0,-0.0337898731232,-0.00924587249756,0.00149202346802,0.0184500217438,-0.0551819801331,-1.52790594101,0.0288000106812,0.00617790222168,-0.00302600860596,-0.116542100906,-0.00924587249756,1.50941407681,0.188640117645,-1.37297201157,0.00617790222168,-0.0398421287537,0.053731918335,1.52782201767,0.0288000106812,0.00149202346802,0.00617790222168,-0.00609397888184,1.49415779114,-0.197927951813,1.38669407368,2.42375993729,-0.36404299736,-11.1607913971,0.021038973704,0.0404800474644,-0.0203250087798,0.12559491396,0.0,0.788242638111,0.00366595690139,1.52960634232,0.799422681332,0.0,0.8198569417,0.0
28,307179481,10,0.0,-0.0291879177094,-0.00924587249756,-4.19616699219e-05,0.0276539325714,-0.0521140098572,-1.53864383698,0.0219999551773,0.0031099319458,-0.00916194915771,-0.115008115768,-0.00617790222168,1.51248204708,0.190174102783,-1.42359399796,0.00464391708374,-0.0444440841675,0.0491299629211,1.53856003284,0.0227999687195,-0.00157594680786,0.0123138427734,-0.00302600860596,1.49722576141,-0.199461936951,1.42351007462,2.42375993729,-0.402363300323,-11.1416311264,0.00772316753864,0.0178431794047,-0.0180242694914,0.130580246449,0.0,0.754454314709,0.000442870601546,1.49659371376,0.799422681332,0.0,0.774091243744,0.0
29,307179579,10,0.0,-0.0245859622955,-0.00924587249756,-0.00157594680786,0.0353238582611,-0.0505800247192,-1.54784822464,0.0176000595093,4.19616699219e-05,-0.016832113266,-0.11347413063,-0.00464391708374,1.5170841217,0.193242073059,-1.46347808838,0.0031099319458,-0.0490460395813,0.0506639480591,1.54623007774,0.0188000202179,-0.0031099319458,0.0169160366058,-0.00149202346802,1.49876022339,-0.200995922089,1.46339404583,2.4716603756,-0.344882816076,-11.1320514679,-0.0042610578239,-0.00213052891195,-0.0172570385039,0.131347000599,0.0,0.809037029743,0.00251503800973,1.52124261856,0.711363434792,0.0,0.721400022507,0.0
30,307179671,10,0.0,-0.0230519771576,-0.00924587249756,-0.0031099319458,0.0414600372314,-0.0505800247192,-1.55245018005,0.0152000188828,-0.00149202346802,-0.0214340686798,-0.11347413063,-0.0031099319458,1.52475404739,0.194776058197,-1.49108982086,0.00157594680786,-0.0521140098572,0.0491299629211,1.55083203316,0.0163999795914,-0.00464391708374,0.0199840068817,4.19616699219e-05,1.50489616394,-0.200995922089,1.48947203159,2.46208024025,-0.383203148842,-11.1607913971,-0.00239684502594,0.00133158056997,-0.0174487270415,0.131155312061,0.0,0.950657725334,0.00761799234897,1.64558231831,0.750389814377,0.0,0.675733208656,0.0
31,307179781,10,0.0,-0.0230519771576,-0.00924587249756,-0.0031099319458,0.0475959777832,-0.0490460395813,-1.55858612061,0.0140000581741,-0.00149202346802,-0.0291039943695,-0.11347413063,-0.0031099319458,1.52935612202,0.196310043335,-1.51563405991,0.00157594680786,-0.0536479949951,0.0491299629211,1.55390012264,0.0155999660492,-0.00617790222168,0.0215179920197,4.19616699219e-05,1.51563405991,-0.200995922089,1.50941407681,2.42375993729,-0.459843754768,-11.103310585,0.00186421279795,-0.00239684502594,-0.0184076465666,0.130963623524,0.0,0.767841815948,0.00079908920452,1.58140695095,0.703748583794,0.0,0.624594628811,0.0
32,307179882,10,0.0,-0.0230519771576,-0.00924587249756,-0.0031099319458,0.053731918335,-0.0490460395813,-1.55858612061,0.0140000581741,-0.00149202346802,-0.0337059497833,-0.111940145493,-0.0031099319458,1.53549206257,0.199378013611,-1.5233039856,0.00157594680786,-0.0536479949951,0.0491299629211,1.55543410778,0.0152000188828,-0.00617790222168,0.0230519771576,4.19616699219e-05,1.51870203018,-0.200995922089,1.51555013657,2.41417980194,-0.373623073101,-11.084151268,0.00186421279795,-0.00852211564779,-0.0185993351042,0.129813015461,0.0,0.982853651047,0.00732533726841,1.71418344975,0.673898458481,0.0,0.599569380283,0.0
33,307179973,10,0.0,-0.0230519771576,-0.00924587249756,-0.0031099319458,0.0583338737488,-0.0490460395813,-1.55858612061,0.0140000581741,-0.00149202346802,-0.0383081436157,-0.11347413063,-0.00157594680786,1.54009413719,0.203979969025,-1.52483797073,0.0031099319458,-0.0551819801331,0.0491299629211,1.55543410778,0.0152000188828,-0.00617790222168,0.0230519771576,0.00157594680786,1.52177000046,-0.200995922089,1.51555013657,2.46208024025,-0.296982437372,-11.084151268,0.00585895450786,-0.0103863282129,-0.0184076465666,0.129046261311,0.0,0.859153568745,0.00174245249946,1.53804528713,0.576545774937,0.0,0.556068062782,0.0
