TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz
635670246090384245,2.50479,-0.17518,0.653059,2.54822,0.00098878,2.48853,1.35367,-2.21397
635670246091554889,2.48034,-0.176969,0.547103,0.71403,0.000206552,2.59449,1.37146,-2.1047
635670246093366252,2.43199,-0.173104,0.653212,2.44862,0.000176022,2.48838,1.38502,-2.19843
635670246094486980,2.41388,-0.170782,0.738921,0.337869,6.63306E-05,2.40267,1.38598,-2.27877
635670246096378314,2.37687,-0.179009,0.316643,1.58402,0.00156821,2.82495,1.38411,-1.88014
635670246097579141,2.3491,-0.17773,0.177604,0.822126,0.000221253,2.96399,1.39725,-1.73365
635670246099310365,2.31746,-0.175038,0.1185,1.09095,5.06859E-05,3.02309,1.40419,-1.66801
635670246100311065,2.30028,-0.177028,6.1244,0.342474,3.99947,-2.98281,1.40217,-1.39587
635670246102192392,2.2671,-0.172119,5.99026,1.17389,0.000237788,-2.84867,1.38506,-1.25374
635670246103393245,2.24551,-0.172946,5.80534,0.473155,0.000386107,-2.66375,1.36842,-1.0736
635670246105164538,2.20224,-0.166418,5.54966,1.99415,0.00103513,-2.40807,1.33953,-0.806216
635670246106395531,2.17741,-0.162343,5.46231,0.636086,0.000296614,-2.32072,1.31337,-0.713908
635670246108176617,2.14342,-0.153901,5.29811,1.31578,0.00160991,-2.15652,1.25142,-0.535153
635670246109307431,2.12453,-0.14844,5.23329,0.471364,0.00100926,-2.0917,1.19363,-0.459658
635670246111098687,2.09126,-0.132964,5.18737,1.61086,0.00154168,-2.04578,1.12085,-0.394494
635670246112159563,2.08323,-0.12805,5.18239,0.106088,7.53664E-05,-2.04079,1.10485,-0.383646
635670246113910753,2.00727,-0.126427,5.17153,6.29293,2.13661E-05,-2.02994,1.10808,-0.381112
635670246115141670,1.99461,-0.126157,5.16971,0.174821,5.93523E-07,-2.02812,1.10861,-0.38068
635670246116862995,1.96299,-0.116425,5.14246,1.10089,0.000102873,-2.00087,1.09269,-0.354023
635670246118083605,1.95034,-0.111616,5.12994,0.187936,2.58221E-05,-1.98835,1.08448,-0.341454
635670246119844845,1.92004,-0.0999487,5.11921,1.05488,0.000314318,-1.97762,1.04997,-0.325769
635670246121706201,1.88638,-0.0847604,5.0851,1.36673,0.000769505,-1.9435,0.999721,-0.281106
635670246122766909,1.87557,-0.0794473,5.07064,0.146101,0.000104909,-1.92905,0.981956,-0.262585
635670246124508131,1.8397,-0.054267,5.02715,2.05222,0.00313066,-1.88556,0.874359,-0.211167
635670246125608914,1.83321,-0.0486426,5.0204,0.0895987,0.000164531,-1.87881,0.849116,-0.204783
