TimeStamp,X,Y,Theta
635669584022763693,2.41289,-0.135786,5.72171
635669584023884444,2.40501,-0.129193,5.86627
635669584025505625,2.39902,-0.124244,5.98742
635669584026686449,2.38725,-0.125626,5.87042
635669584028417645,2.37837,-0.126685,5.79319
635669584030218915,2.35792,-0.115911,5.93027
635669584031219615,2.3545,-0.114121,5.9557
635669584032910860,2.3376,-0.11226,5.85167
635669584034031630,2.33262,-0.110965,5.84112
635669584035752853,2.31796,-0.113005,5.76505
635669584037584111,2.30381,-0.110011,5.79683
635669584038764986,2.29293,-0.107132,5.78701
635669584039945779,2.28749,-0.105698,5.78152
635669584041466861,2.27929,-0.108951,5.71204
635669584042637684,2.26872,-0.108279,5.72852
635669584044318873,2.25409,-0.10575,5.73064
635669584046180183,2.23769,-0.100075,5.81826
635669584047320988,2.22811,-0.0944877,5.82118
635669584049102247,2.21272,-0.0915822,5.73193
635669584050102950,2.20511,-0.0911541,5.65645
635669584051764125,2.19228,-0.087652,5.63711
635669584052954956,2.18778,-0.0859981,5.64369
635669584054606135,2.16824,-0.081286,5.61474
635669584055786971,2.1583,-0.0790398,5.61304
635669584057518170,2.13693,-0.0754812,5.45735
635669584059409518,2.11858,-0.0703236,5.38286
635669584060590357,2.10237,-0.0699498,5.34684
635669584062151481,2.07732,-0.0637166,5.26319
635669584063262230,2.06889,-0.0607051,5.23559
635669584064943422,2.06258,-0.0584568,5.21713
635669584066074211,2.06153,-0.058083,5.21422
635669584067785421,1.99151,-0.0523175,5.13561
635669584068966242,1.97984,-0.0513697,5.12529
635669584070647437,1.96354,-0.0482529,5.10695
635669584071718366,1.95831,-0.0469289,5.10057
635669584073409405,1.93693,-0.0434489,5.09269
635669584075260745,1.90889,-0.0355512,5.04363
635669584076391509,1.90359,-0.0335003,5.03248
635669584078092786,1.88469,-0.029577,5.01771
635669584079303552,1.87127,-0.0244613,4.99497
635669584081214886,1.85381,-0.0138475,4.9837
635669584082886062,1.84087,-0.000114282,4.97419
635669584083886770,1.83691,0.00496636,4.97132
635669584085567976,1.83052,0.0204403,4.96622
635669584087419262,1.82667,0.0333299,4.96691
635669584088600107,1.82584,0.0365345,4.96811
635669584090341335,1.81883,0.0552689,4.95852
635669584091392076,1.81766,0.0583942,4.95697
635669584093123463,1.80495,0.0741821,4.96378
635669584094934584,1.803,0.0983434,4.9528
635669584096065381,1.79919,0.107414,4.94858
635669584097771351,1.79522,0.126647,4.94914
635669584099642560,1.78684,0.142307,4.95071
635669584101534536,1.77826,0.166768,4.95034
635669584103476966,1.7721,0.189648,4.94917
635669584104477455,1.77022,0.196442,4.94899
635669584105588367,1.77734,0.206466,4.93875
635669584107219435,1.77019,0.238883,4.92813
635669584109090701,1.76293,0.254199,4.92544
635669584110301552,1.76045,0.264276,4.92598
635669584111942709,1.75591,0.278393,4.92638
635669584113747501,1.75042,0.292447,4.93112
635669584114818202,1.74411,0.302556,4.93263
635669584116449353,1.74152,0.315135,4.93026
635669584117600299,1.73663,0.326534,4.93226
635669584118730974,1.73418,0.332234,4.93326
635669584120362119,1.72939,0.34283,4.9352
635669584121482904,1.72771,0.345511,4.93647
635669584122983965,1.72771,0.345511,4.93647
635669584124755229,1.72771,0.345511,4.93647
635669584125886149,1.72757,0.357739,4.93223
635669584127507153,1.72605,0.371669,4.92898
635669584128738073,1.71933,0.379107,4.93341
635669584130389189,1.71722,0.395588,4.92867
635669584132130623,1.71288,0.404922,4.9286
635669584133261566,1.71088,0.408215,4.92894
635669584134892910,1.71064,0.419118,4.92331
635669584136033527,1.71058,0.420938,4.92234
635669584137764606,1.71053,0.422303,4.92162
635669584139005715,1.70741,0.443213,4.92152
635669584140676657,1.70508,0.458894,4.92151
635669584142490845,1.70838,0.469658,4.91784
635669584144361935,1.71334,0.477634,4.91813
635669584145422811,1.71183,0.485953,4.92208
635669584147116328,1.70969,0.507329,4.92134
635669584148267402,1.71045,0.519503,4.91898
635669584149978344,1.71102,0.528635,4.91723
635669584151219353,1.72478,0.536629,4.91726
635669584152880397,1.71764,0.549654,4.91763
635669584153881094,1.73273,0.563327,4.92062
635669584155542474,1.74404,0.573579,4.92286
635669584156733120,1.74339,0.58986,4.91703
635669584158344257,1.741,0.605586,4.91167
635669584160125926,1.73886,0.614488,4.91237
635669584161196767,1.73739,0.620071,4.9113
635669584162877834,1.73629,0.624259,4.91049
635669584164629152,1.7357,0.641484,4.91033
635669584165769874,1.7355,0.649746,4.91035
635669584167461126,1.73535,0.655943,4.91037
635669584168752020,1.73532,0.656975,4.91037
635669584170393172,1.73348,0.659814,4.91014
635669584171393849,1.73257,0.660975,4.91004
635669584173065638,1.73189,0.661845,4.90997
635669584174206474,1.73178,0.66199,4.90996
635669584175867589,1.73169,0.662099,4.90995
635669584177628835,1.73167,0.662126,4.90995
635669584178849710,1.73167,0.662131,4.90995
635669584180550899,1.73166,0.662134,4.90995
635669584181541623,1.73166,0.662134,4.90995
635669584183122730,1.73191,0.66492,4.91241
635669584184913974,1.73099,0.669834,4.91368
635669584186675216,1.73075,0.671063,4.91399
635669584188496518,1.73075,0.671063,4.91399
635669584189647344,1.73075,0.671063,4.91399
635669584191238526,1.73075,0.671063,4.91399
635669584192979717,1.73075,0.671063,4.91399
635669584194220670,1.73075,0.671063,4.91399
635669584195763944,1.73075,0.671063,4.91399
635669584196954766,1.73075,0.671063,4.91399
635669584198545897,1.73075,0.671063,4.91399
635669584200237082,1.73075,0.671063,4.91399
635669584201998396,1.73075,0.671063,4.91399
635669584203119118,1.73075,0.671063,4.91399
635669584204770285,1.73075,0.671063,4.91399
635669584206451517,1.73075,0.671063,4.91399
635669584207622320,1.73075,0.671063,4.91399
635669584209093378,1.73075,0.671063,4.91399
635669584210844587,1.73075,0.671063,4.91399
635669584212575848,1.73075,0.671063,4.91399
635669584213696599,1.73075,0.671063,4.91399
635669584215267687,1.73075,0.671063,4.91399
635669584217008919,1.73075,0.671063,4.91399
635669584218119708,1.73075,0.671063,4.91399
635669584219780868,1.73075,0.671063,4.91399
635669584221481701,1.73075,0.671063,4.91399
635669584222632321,1.73075,0.671063,4.91399
635669584224273505,1.73075,0.671063,4.91399
635669584225825272,1.73075,0.671063,4.91399
635669584226986062,1.73075,0.671063,4.91399
635669584228617238,1.73075,0.671063,4.91399
