TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz,Rx_Deg,Ry_Deg,Rz_Deg
6.3567E+17,1.73857,0.742672,5.10369,1.91E-10,8.46E-13,-1.9621,0.898496,-0.300395,-112.420049,51.48002871,-17.21136569
6.3567E+17,1.73857,0.742672,5.10369,1.07E-10,3.99E-13,-1.9621,0.898496,-0.300393,-112.420049,51.48002871,-17.2112511
6.3567E+17,1.73857,0.742672,5.10369,2.99E-12,1.07E-14,-1.96209,0.898496,-0.300393,-112.419476,51.48002871,-17.2112511
6.3567E+17,1.73866,0.742531,5.10536,6.41E-05,2.84E-07,-1.96377,0.89838,-0.301883,-112.5157329,51.4733824,-17.29662181
6.3567E+17,1.73849,0.742383,5.10468,4.97E-05,1.67E-07,-1.96309,0.897692,-0.301473,-112.4767718,51.4339629,-17.27313054
6.3567E+17,1.73836,0.742375,5.10678,7.42E-05,1.04E-06,-1.96519,0.89926,-0.303109,-112.5970929,51.52380268,-17.36686643
6.3567E+17,1.73807,0.742075,5.10916,0.00027729,1.29E-06,-1.96757,0.900796,-0.305746,-112.7334569,51.611809,-17.5179554
6.3567E+17,1.73793,0.741909,5.10974,5.65E-05,9.41E-08,-1.96815,0.901087,-0.306603,-112.7666884,51.62848207,-17.56705789
6.3567E+17,1.73759,0.741946,5.10994,0.000146357,2.01E-07,-1.96835,0.901791,-0.306222,-112.7781476,51.6688183,-17.54522819
6.3567E+17,1.73678,0.741697,5.1087,0.000782755,2.54E-07,-1.96711,0.901323,-0.304798,-112.7071008,51.64200388,-17.463639
6.3567E+17,1.73657,0.741614,5.10849,5.45E-05,2.76E-08,-1.96689,0.901053,-0.304488,-112.6944958,51.62653402,-17.44587731
6.3567E+17,1.73588,0.741721,5.10762,0.000503867,1.78E-06,-1.96603,0.903658,-0.303556,-112.6452214,51.77578952,-17.39247765
6.3567E+17,1.73582,0.74166,5.10776,1.93E-05,2.17E-07,-1.96617,0.902736,-0.303551,-112.6532428,51.72296281,-17.39219117
6.3567E+17,1.73581,0.74165,5.10778,5.36E-07,6.04E-09,-1.96619,0.902582,-0.30355,-112.6543887,51.71413926,-17.39213387
6.3567E+17,1.7358,0.741642,5.1078,3.02E-07,3.41E-09,-1.96621,0.902467,-0.303549,-112.6555346,51.70755025,-17.39207658
6.3567E+17,1.73525,0.741198,5.10754,0.0005446,1.14E-07,-1.96595,0.902391,-0.303998,-112.6406377,51.70319577,-17.41780238
6.3567E+17,1.73538,0.741385,5.108,4.96E-05,7.78E-08,-1.96641,0.902621,-0.303936,-112.6669938,51.7163738,-17.41425004
6.3567E+17,1.73541,0.741432,5.10811,3.10E-06,4.84E-09,-1.96652,0.902678,-0.303921,-112.6732963,51.71963966,-17.41339061
