TimeStamp,X,Y,Theta,TransError,RotError,Rx,Ry,Rz,Rx_Deg,Ry_Deg,Rz_Deg
6.3567E+17,2.88907,0.129623,1.03339,0.027291,4.35E-05,2.1082,1.1624,-2.58942,120.7909624,66.60061411,-148.3628374
6.3567E+17,2.88581,0.130756,1.05242,0.0153858,2.45E-05,2.08917,1.15703,-2.6035,119.7006237,66.29293577,-149.169562
6.3567E+17,2.84537,0.127405,1.00499,1.65894,0.000144796,2.1366,1.14346,-2.56471,122.4181625,65.51543204,-146.9470587
6.3567E+17,2.82541,0.125638,0.980712,0.405501,3.83E-05,2.16088,1.13682,-2.54517,123.809304,65.13498807,-145.8274991
6.3567E+17,2.80322,0.116333,0.941447,0.642414,0.000211542,2.20015,1.15757,-2.52185,126.0593093,66.32387549,-144.4913616
6.3567E+17,2.79398,0.110032,0.919319,0.169975,0.000117271,2.22227,1.17556,-2.50985,127.3266919,67.35462656,-143.8038122
6.3567E+17,2.75921,0.108296,0.948288,1.24353,8.84E-05,2.1933,1.16224,-2.52958,125.6668332,66.59144678,-144.9342579
6.3567E+17,2.7331,0.106987,0.969014,0.701308,4.97E-05,2.17258,1.15211,-2.54337,124.4796647,66.01104053,-145.7243667
6.3567E+17,2.69806,0.10466,1.01111,1.2506,0.000270403,2.13048,1.12456,-2.585,122.0675123,64.43254181,-148.10959
6.3567E+17,2.68645,0.102701,1.03241,0.161566,2.46E-05,2.10919,1.1211,-2.60542,120.8476852,64.23429841,-149.2795699
6.3567E+17,2.65926,0.100356,1.03247,0.78739,1.54E-05,2.10912,1.12814,-2.60201,120.8436745,64.6376607,-149.0841913
6.3567E+17,2.62258,0.0953706,0.965852,1.48117,0.000668857,2.17574,1.17195,-2.53702,124.6607193,67.1477888,-145.3605385
6.3567E+17,2.60102,0.0924648,0.931859,0.478156,5.23E-05,2.20973,1.17809,-2.5057,126.6082029,67.49958489,-143.5660347
6.3567E+17,2.58484,0.0902672,0.905716,0.269315,2.94E-05,2.23588,1.18242,-2.48155,128.1064875,67.74767561,-142.1823417
6.3567E+17,2.54457,0.0861524,0.928504,1.67823,0.000104482,2.21309,1.16451,-2.49812,126.8007167,66.7215082,-143.1317327
6.3567E+17,2.5352,0.0843421,0.944642,0.110003,1.09E-05,2.19695,1.16339,-2.5117,125.8759628,66.65733693,-143.9098094
6.3567E+17,2.51289,0.0779233,0.97698,0.601705,9.01E-05,2.16461,1.15069,-2.5468,124.0230173,65.92968053,-145.9208913
6.3567E+17,2.49006,0.0732472,0.985421,0.546885,2.38E-05,2.15617,1.14163,-2.55542,123.5394409,65.41058077,-146.4147809
6.3567E+17,2.47388,0.0641526,0.973618,0.373122,1.95E-05,2.16797,1.1418,-2.55204,124.2155311,65.42032105,-146.2211211
6.3567E+17,2.47118,0.0626366,0.97165,0.0103652,5.43E-07,2.16994,1.14183,-2.55147,124.3284038,65.42203992,-146.1884626
6.3567E+17,2.44066,0.0538226,0.968216,1.02827,2.01E-05,2.17338,1.15058,-2.5469,124.5255013,65.92337799,-145.9266208
6.3567E+17,2.43451,0.0517122,0.972398,0.0456943,3.38E-06,2.16919,1.15378,-2.55012,124.285432,66.10672449,-146.1111133
6.3567E+17,2.41628,0.0469132,0.990247,0.387792,1.47E-05,2.15135,1.15266,-2.5642,123.2632753,66.04255321,-146.9178378
6.3567E+17,2.4087,0.0450386,0.998048,0.0666484,3.23E-06,2.14354,1.15127,-2.57037,122.8157952,65.96291208,-147.2713528
6.3567E+17,2.39199,0.0410631,0.90732,0.311534,0.000553475,2.23427,1.18145,-2.48138,128.0142413,67.69209871,-142.1726014
6.3567E+17,2.37199,0.0453868,0.76589,0.641248,0.00235583,2.3757,1.26328,-2.32754,136.1175834,72.38061234,-133.3582186
6.3567E+17,2.35941,0.0476657,0.525613,0.173303,0.00206295,2.61598,1.32606,-2.08648,149.8846133,75.97764138,-119.546498
6.3567E+17,2.3441,0.0532145,0.235409,0.284948,0.00136619,2.90618,1.35922,-1.79324,166.5118485,77.87756943,-102.7450837
6.3567E+17,2.33963,0.0553757,0.169866,0.0266442,5.12E-05,2.97173,1.36249,-1.72637,170.2675869,78.06492663,-98.91371488
6.3567E+17,2.32282,0.0612463,0.00569216,0.317386,0.000399888,3.1359,1.35422,-1.54754,179.673835,77.59109053,-88.66751063
6.3567E+17,2.32282,0.0612463,0.00569216,0,0,3.1359,1.35422,-1.54754,179.673835,77.59109053,-88.66751063
6.3567E+17,2.32282,0.0612463,0.00569216,0,0,3.1359,1.35422,-1.54754,179.673835,77.59109053,-88.66751063
6.3567E+17,2.32282,0.0612463,0.00569216,0,0,3.1359,1.35422,-1.54754,179.673835,77.59109053,-88.66751063
6.3567E+17,2.31394,0.0628872,6.27414,0.092758,3.99998,-3.13254,1.34894,-1.52712,-179.4813212,77.28856882,-87.49753081
6.3567E+17,2.30728,0.0641129,6.26362,0.0521937,1.05E-05,-3.12203,1.34494,-1.51235,-178.8791425,77.0593857,-86.65127215
6.3567E+17,2.30728,0.0641129,6.26362,0,0,-3.12203,1.34494,-1.51235,-178.8791425,77.0593857,-86.65127215
6.3567E+17,2.29082,0.0646897,5.74632,0.424622,0.00393291,-2.60472,1.31837,-0.989734,-149.2394628,75.53703684,-56.70758104
6.3567E+17,2.27845,0.0631939,5.63838,0.157776,0.000336551,-2.49678,1.29499,-0.882657,-143.0549564,74.19746151,-50.57252086
6.3567E+17,2.26913,0.0620505,5.56909,0.0894866,0.000189313,-2.4275,1.27569,-0.81402,-139.0855048,73.09165297,-46.63991044
6.3567E+17,2.2668,0.0617619,5.55317,0.00561793,1.18E-05,-2.41157,1.27067,-0.798261,-138.172783,72.80402815,-45.73698625
6.3567E+17,2.25507,0.0613797,5.48543,0.138113,0.000259767,-2.34384,1.2466,-0.72854,-134.2921399,71.42491874,-41.74226721
6.3567E+17,2.24307,0.0729411,5.20081,0.285508,0.0124447,-2.05921,1.06047,-0.416023,-117.9840421,60.7604553,-23.83636208
6.3567E+17,2.23851,0.0815185,5.10724,0.0999156,0.00603183,-1.96564,0.918242,-0.301439,-112.622876,52.61139117,-17.27118248
6.3567E+17,2.23775,0.0829277,5.09585,0.00271766,0.000167633,-1.95426,0.894054,-0.286462,-111.9708501,51.22552086,-16.41306359
6.3567E+17,2.23307,0.0833464,5.08651,0.0308141,0.000235123,-1.94492,0.864309,-0.274762,-111.4357075,49.5212579,-15.74270297
6.3567E+17,2.23072,0.0835455,5.08216,0.00774293,5.88E-05,-1.94056,0.849412,-0.269219,-111.1858979,48.66772267,-15.42511246
6.3567E+17,2.23072,0.0835455,5.08216,0,0,-1.94056,0.849412,-0.269219,-111.1858979,48.66772267,-15.42511246
6.3567E+17,2.23072,0.0835455,5.08216,0,0,-1.94056,0.849412,-0.269219,-111.1858979,48.66772267,-15.42511246
6.3567E+17,2.2254,0.081415,5.06783,0.0375378,0.000140084,-1.92624,0.828218,-0.26298,-110.3654223,47.45339592,-15.0676441
6.3567E+17,2.21913,0.0872247,5.05802,0.0742156,0.000313954,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.21913,0.0872247,5.05802,0,0,-1.91643,0.794032,-0.249421,-109.8033507,45.4946824,-14.29077062
6.3567E+17,2.20412,0.0927981,5.04048,0.261504,0.000284144,-1.89889,0.762719,-0.236684,-108.7983828,43.70057965,-13.56099428
6.3567E+17,2.1966,0.0956022,5.03211,0.0658951,7.10E-05,-1.89052,0.747005,-0.230738,-108.3188171,42.80023378,-13.22031357
6.3567E+17,2.18136,0.0981658,5.03688,0.241645,3.13E-05,-1.89529,0.736412,-0.233056,-108.592118,42.19329958,-13.35312519
6.3567E+17,2.16669,0.11285,5.03575,0.453603,0.000298044,-1.89416,0.704319,-0.219599,-108.5273737,40.35450613,-12.58209589
6.3567E+17,2.1429,0.129067,5.03608,0.856285,9.03E-05,-1.89449,0.687402,-0.211152,-108.5462813,39.38523343,-12.09811844
6.3567E+17,2.13696,0.133118,5.03619,0.053447,5.64E-06,-1.8946,0.683173,-0.209058,-108.5525839,39.14292958,-11.97814107
6.3567E+17,2.13597,0.133793,5.03621,0.00148418,1.57E-07,-1.89461,0.682469,-0.208709,-108.5531568,39.10259335,-11.95814485
6.3567E+17,2.13547,0.134131,5.03622,0.000371021,3.92E-08,-1.89462,0.682116,-0.208535,-108.5537298,39.08236794,-11.94817538
6.3567E+17,2.13523,0.134299,5.03622,9.28E-05,9.79E-09,-1.89463,0.68194,-0.208448,-108.5543027,39.07228388,-11.94319065
6.3567E+17,1.97537,0.274733,5.007,45.8451,0.00169374,-1.86541,0.613231,-0.15191,-106.8801201,35.13554817,-8.703801866
6.3567E+17,1.93548,0.309876,5.00065,2.8618,0.000105874,-1.85906,0.595861,-0.13858,-106.5162919,34.14032048,-7.940049125
6.3567E+17,1.92551,0.318664,4.99912,0.178803,6.62E-06,-1.85752,0.591508,-0.135292,-106.4280564,33.89091195,-7.751660602
6.3567E+17,1.92385,0.320129,4.99886,0.00496636,1.84E-07,-1.85727,0.590782,-0.134746,-106.4137324,33.84931521,-7.720377106
6.3567E+17,1.90055,0.336312,5.01204,0.859359,0.000511674,-1.87045,0.626935,-0.167245,-107.1688908,35.92072953,-9.582432645
6.3567E+17,1.88935,0.349338,5.01736,0.390971,0.000407742,-1.87577,0.658625,-0.195107,-107.4737043,37.73643278,-11.17880765
6.3567E+17,1.87692,0.369537,5.04064,0.702341,0.00047458,-1.89904,0.688839,-0.23522,-108.8069771,39.46756746,-13.47711326
6.3567E+17,1.87743,0.389144,5.04492,0.524162,9.83E-05,-1.90333,0.708394,-0.237711,-109.052776,40.58798643,-13.61983704
6.3567E+17,1.83561,0.413843,5.04595,2.36082,3.34E-05,-1.90435,0.718487,-0.232806,-109.1112177,41.16627274,-13.33880125
6.3567E+17,1.82864,0.417959,5.04611,0.0656085,9.27E-07,-1.90452,0.720169,-0.231985,-109.120958,41.26264424,-13.29176141
6.3567E+17,1.81183,0.440989,5.0324,0.812852,0.000470405,-1.89081,0.682268,-0.204819,-108.3354329,39.0910769,-11.73526426
6.3567E+17,1.8052,0.451483,5.02615,0.15407,0.000120655,-1.88456,0.662796,-0.192005,-107.9773342,37.97541348,-11.00107615
6.3567E+17,1.93593,0.536294,5.53845,27.3432,0.0591896,-2.39686,0.543952,-0.267549,-137.3299621,31.16615386,-15.32942851
6.3567E+17,1.9892,0.569094,5.77916,6.29576,0.0147441,-2.63757,0.480376,-0.280611,-151.1216292,27.52351738,-16.07782598
6.3567E+17,2.02085,0.589587,5.95413,3.30976,0.00829801,-2.81254,0.43191,-0.27896,-161.1466717,24.74662013,-15.98323065
6.3567E+17,2.02536,0.592627,5.98292,0.0887319,0.000230654,-2.84133,0.423889,-0.277785,-162.7962172,24.28705068,-15.91590811
6.3567E+17,1.88903,0.53304,5.2417,44.7854,0.124757,-2.1001,0.494549,-0.190833,-120.3268666,28.33557046,-10.93392549
6.3567E+17,1.85754,0.521389,5.11543,1.31421,0.00350111,-1.97384,0.499874,-0.171406,-113.0927014,28.64067049,-9.820840383
6.3567E+17,1.83018,0.516417,5.02148,0.829137,0.00188287,-1.87988,0.504098,-0.153246,-107.70919,28.88268786,-8.780349027
6.3567E+17,1.93867,0.568669,5.51679,18.7142,0.054349,-2.37519,0.465066,-0.226216,-136.0883625,26.646319,-12.96122206
6.3567E+17,1.87739,0.551345,5.25085,5.84451,0.0156668,-2.10925,0.485526,-0.184687,-120.8511229,27.81859064,-10.58178563
6.3567E+17,1.82551,0.537633,5.04938,3.31722,0.00881757,-1.90779,0.494049,-0.15009,-109.3083152,28.30692257,-8.599523547
6.3567E+17,1.81562,0.544327,5.01557,0.156441,0.000264327,-1.87398,0.482352,-0.139618,-107.3711449,27.63673384,-7.999522144
6.3567E+17,1.80421,0.552387,4.98843,0.199275,0.00015856,-1.84684,0.47548,-0.129733,-105.8161374,27.24299724,-7.433153364
6.3567E+17,1.80116,0.55852,4.9835,0.047455,2.20E-05,-1.84191,0.46719,-0.12732,-105.5336692,26.76801523,-7.294898648
6.3567E+17,1.79747,0.568326,4.97857,0.110573,2.60E-05,-1.83698,0.458106,-0.123635,-105.251201,26.24754037,-7.0837637
6.3567E+17,1.79597,0.574207,4.97913,0.0368876,1.50E-05,-1.83754,0.45049,-0.122565,-105.2832867,25.81117571,-7.022457216
6.3567E+17,1.79477,0.582753,4.97864,0.0759938,5.58E-06,-1.83705,0.446037,-0.123869,-105.2552118,25.55603761,-7.097170913
